DATE,S,C,D,T,GOAL,GOALTYPE,DURATION,slot,S2,C2,D2,T2
2023-08-09,7300,233,4100,73,7000,DAILY,0,1691555400,3500,115,2000,35
2023-08-09,7300,232,4100,73,7000,DAILY,0,1691584200,3800,117,2100,38
2023-08-08,8200,245,4900,85,7000,DAILY,0,1691469000,4000,120,2400,40
2023-08-08,8200,245,4900,85,7000,DAILY,0,1691497800,4200,125,2500,45
2023-08-07,6600,220,3850,66,7000,DAILY,0,1691382600,3000,100,1800,30
2023-08-07,6600,220,3850,66,7000,DAILY,0,1691411400,3600,120,2050,36
2023-08-02,6500,230,3900,68,7000,DAILY,0,1690950600,3200,110,1900,32
2023-08-02,6500,230,3900,68,7000,DAILY,0,1690979400,3300,120,2000,36
2023-07-10,8400,250,4600,85,7000,DAILY,0,1688963400,4000,120,2400,45
2023-07-10,8400,250,4600,85,7000,DAILY,0,1688992200,4400,130,2200,40
